NGA,Polity,Section,Subsection,Variable,Value From,Value To,Date From,Date To,Fact Type,Value Note,Date Note,Comment
Konya Plain,TrOttm2,Social Complexity variables,Information,Geometrical,present,,,,simple,simple,,
Konya Plain,TrOttm2,Social Complexity variables,Information,Mnemonic devices,present,,,,simple,simple,,
Konya Plain,TrOttm2,Social Complexity variables,Information,Nonwritten records,present,,,,simple,simple,,
Konya Plain,TrOttm2,Social Complexity variables,Information,Written records,present,,,,simple,simple,,
Konya Plain,TrOttm2,Social Complexity variables,Information,Script,present,,,,simple,simple,,
Konya Plain,TrOttm2,Social Complexity variables,Information,Lists tables and classifications,present,,,,simple,simple,,
Konya Plain,TrOttm2,Social Complexity variables,Information,Calendar,present,,,,simple,simple,,
Konya Plain,TrOttm2,Social Complexity variables,Information,Sacred Texts,present,,,,simple,simple,,
Konya Plain,TrOttm2,Social Complexity variables,Information,Religious literature,present,,,,simple,simple,,
Konya Plain,TrOttm2,Social Complexity variables,Information,Practical literature,present,,,,simple,simple,,
Konya Plain,TrOttm2,Social Complexity variables,Information,History,present,,,,simple,simple,,
Konya Plain,TrOttm2,Social Complexity variables,Information,Philosophy,present,,,,simple,simple,,
Konya Plain,TrOttm2,Social Complexity variables,Information,Scientific literature,present,,,,simple,simple,,
Konya Plain,TrOttm2,Social Complexity variables,Information,Fiction,present,,,,simple,simple,,
Konya Plain,TrOttm2,Social Complexity variables,Other,Articles,present,,,,simple,simple,,
Konya Plain,TrOttm2,Social Complexity variables,Other,Tokens,unknown,,,,simple,simple,,
Konya Plain,TrOttm2,Social Complexity variables,Other,Precious metals,inferred present,,,,simple,simple,,
Konya Plain,TrOttm2,Social Complexity variables,Other,Foreign coins,inferred present,,,,simple,simple,,
Konya Plain,TrOttm2,Social Complexity variables,Other,Indigenous coins,present,,,,simple,simple,,
Konya Plain,TrOttm2,Social Complexity variables,Other,Paper currency,absent,,,,simple,simple,,
Konya Plain,TrOttm2,Social Complexity variables,Other,Debt and credit structures,present,,,,simple,simple,,
Konya Plain,TrOttm2,Social Complexity variables,Other,Store of wealth,present,,,,simple,simple,,
Konya Plain,TrOttm2,Social Complexity variables,Other,Couriers,present,,,,simple,simple,,
Konya Plain,TrOttm2,Social Complexity variables,Other,Postal stations,present,,,,simple,simple,,
Konya Plain,TrOttm2,Social Complexity variables,Other,General postal service,absent,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,,RA,Edward A L Turner,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Social Scale,Polity territory,4836000,,1600CE,,complex,simple,simple,
Konya Plain,TrOttm3,Social Complexity variables,Social Scale,Polity Population,28000000,,1600CE,,complex,simple,simple,
Konya Plain,TrOttm3,Social Complexity variables,Social Scale,Population of the largest settlement,650000,700000,1600CE,,complex,range,simple,
Konya Plain,TrOttm3,Social Complexity variables,Social Scale,Largest communication distance,3700,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Hierarchical Complexity,Settlement hierarchy,6,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Hierarchical Complexity,Administrative levels,9,10,,,complex,range,,
Konya Plain,TrOttm3,Social Complexity variables,Hierarchical Complexity,Religious levels,4,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Hierarchical Complexity,Military levels,9,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Professions,Professional military officers,present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Professions,Professional soldiers,present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Professions,Professional priesthood,inferred present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Bureaucracy characteristics,Full-time bureaucrats,present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Bureaucracy characteristics,Source of support,land,,,,complex,list,,
Konya Plain,TrOttm3,Social Complexity variables,Bureaucracy characteristics,Source of support, governed population,,,,complex,list,,
Konya Plain,TrOttm3,Social Complexity variables,Bureaucracy characteristics,Source of support, state salary,,,,complex,list,,
Konya Plain,TrOttm3,Social Complexity variables,Bureaucracy characteristics,Examination system,present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Bureaucracy characteristics,Merit promotion,present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Bureaucracy characteristics,Specialized government buildings,present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Law,Formal legal code,present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Law,Judges,present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Law,Courts,present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Law,Professional Lawyers,present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Specialized Buildings: polity owned,Communal buildings,present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Specialized Buildings: polity owned,Special purpose house,present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Specialized Buildings: polity owned,Utilitarian public buildings,present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Specialized Buildings: polity owned,irrigation systems,present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Specialized Buildings: polity owned,drinking water supply systems,present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Specialized Buildings: polity owned,markets,present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Specialized Buildings: polity owned,food storage sites,present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Specialized Buildings: polity owned,Symbolic buildings,present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Specialized Buildings: polity owned,Entertainment buildings,inferred present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Specialized Buildings: polity owned,Knowledge/information buildings,present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Specialized Buildings: polity owned,Roads,present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Specialized Buildings: polity owned,Bridges,present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Specialized Buildings: polity owned,Canals,present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Specialized Buildings: polity owned,Ports,present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Specialized Buildings: polity owned,Special purpose sites,present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Specialized Buildings: polity owned,Ceremonial site,present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Specialized Buildings: polity owned,Burial site,present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Specialized Buildings: polity owned,Trading emporia,present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Specialized Buildings: polity owned,Enclosures,present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Specialized Buildings: polity owned,Mines or quarries,present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Specialized Buildings: polity owned,Other site,present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Information,Length,present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Information,Area,present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Information,Volume,present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Information,Weight,present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Information,Time,present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Information,Geometrical,present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Information,Mnemonic devices,present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Information,Nonwritten records,present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Information,Written records,present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Information,Script,present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Information,Non-phonetic alphabetic writing,absent,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Information,Phonetic alphabetic writing,present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Information,Lists tables and classifications,present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Information,Calendar,present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Information,Sacred Texts,present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Information,Religious literature,present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Information,Practical literature,present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Information,History,present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Information,Philosophy,present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Information,Scientific literature,present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Information,Fiction,present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Other,Articles,present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Other,Precious metals,inferred present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Other,Foreign coins,inferred present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Other,Indigenous coins,present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Other,Paper currency,absent,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Other,Debt and credit structures,present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Other,Store of wealth,present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Other,Couriers,present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Other,Postal stations,present,,,,simple,simple,,
Konya Plain,TrOttm3,Social Complexity variables,Other,General postal service,absent,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,,RA,Edward A L Turner,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Social Scale,Polity territory,4920000,,1700CE,,complex,simple,simple,
Konya Plain,TrOttm4,Social Complexity variables,Social Scale,Polity territory,4640000,4780000,1718CE,,complex,range,simple,
Konya Plain,TrOttm4,Social Complexity variables,Social Scale,Polity Population,24000000,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Social Scale,Population of the largest settlement,700000,,1700CE,,complex,simple,simple,
Konya Plain,TrOttm4,Social Complexity variables,Social Scale,Population of the largest settlement,570000,,1800CE,,complex,simple,simple,
Konya Plain,TrOttm4,Social Complexity variables,Social Scale,Largest communication distance,2400,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Hierarchical Complexity,Settlement hierarchy,6,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Hierarchical Complexity,Administrative levels,9,10,,,complex,range,,
Konya Plain,TrOttm4,Social Complexity variables,Hierarchical Complexity,Religious levels,4,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Hierarchical Complexity,Military levels,9,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Professions,Professional military officers,present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Professions,Professional soldiers,present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Professions,Professional priesthood,inferred present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Bureaucracy characteristics,Full-time bureaucrats,present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Bureaucracy characteristics,Source of support,governed population,,,,complex,list,,
Konya Plain,TrOttm4,Social Complexity variables,Bureaucracy characteristics,Source of support, state salary,,,,complex,list,,
Konya Plain,TrOttm4,Social Complexity variables,Bureaucracy characteristics,Examination system,present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Bureaucracy characteristics,Merit promotion,present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Bureaucracy characteristics,Specialized government buildings,present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Law,Formal legal code,present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Law,Judges,present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Law,Courts,present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Law,Professional Lawyers,present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Specialized Buildings: polity owned,Communal buildings,present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Specialized Buildings: polity owned,Special purpose house,present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Specialized Buildings: polity owned,Utilitarian public buildings,present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Specialized Buildings: polity owned,irrigation systems,present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Specialized Buildings: polity owned,drinking water supply systems,present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Specialized Buildings: polity owned,markets,present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Specialized Buildings: polity owned,food storage sites,present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Specialized Buildings: polity owned,Symbolic buildings,present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Specialized Buildings: polity owned,Entertainment buildings,inferred present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Specialized Buildings: polity owned,Knowledge/information buildings,present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Specialized Buildings: polity owned,Roads,present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Specialized Buildings: polity owned,Bridges,present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Specialized Buildings: polity owned,Canals,present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Specialized Buildings: polity owned,Ports,present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Specialized Buildings: polity owned,Special purpose sites,present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Specialized Buildings: polity owned,Ceremonial site,present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Specialized Buildings: polity owned,Burial site,present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Specialized Buildings: polity owned,Trading emporia,present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Specialized Buildings: polity owned,Enclosures,present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Specialized Buildings: polity owned,Mines or quarries,present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Specialized Buildings: polity owned,Other site,present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Information,Length,present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Information,Area,present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Information,Volume,present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Information,Weight,present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Information,Time,present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Information,Geometrical,present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Information,Mnemonic devices,present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Information,Nonwritten records,present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Information,Written records,present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Information,Script,present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Information,Non-phonetic alphabetic writing,absent,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Information,Phonetic alphabetic writing,present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Information,Lists tables and classifications,present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Information,Calendar,present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Information,Sacred Texts,present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Information,Religious literature,present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Information,Practical literature,present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Information,History,present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Information,Philosophy,present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Information,Scientific literature,present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Information,Fiction,present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Other,Articles,present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Other,Tokens,unknown,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Other,Precious metals,inferred present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Other,Foreign coins,absent,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Other,Indigenous coins,present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Other,Paper currency,absent,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Other,Debt and credit structures,present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Other,Store of wealth,present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Other,Couriers,present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Other,Postal stations,present,,,,simple,simple,,
Konya Plain,TrOttm4,Social Complexity variables,Other,General postal service,absent,,,,simple,simple,,
Susiana,IrPrCer,Social Complexity variables,,RA,Edward A L Turner,,,,complex,list,,
Susiana,IrPrCer,Social Complexity variables,,RA, Agathe Dupeyron,,,,complex,list,,
Susiana,IrPrCer,Social Complexity variables,Social Scale,Population of the largest settlement,250,500,,,complex,range,,
Susiana,IrPrCer,Social Complexity variables,Hierarchical Complexity,Settlement hierarchy,1,,,,simple,simple,,
Susiana,IrPrCer,Social Complexity variables,Hierarchical Complexity,Administrative levels,1,,,,simple,simple,,
Susiana,IrPrCer,Social Complexity variables,Hierarchical Complexity,Religious levels,0,,,,simple,simple,,
Susiana,IrPrCer,Social Complexity variables,Hierarchical Complexity,Military levels,1,,,,simple,simple,,
Susiana,IrPrCer,Social Complexity variables,Professions,Professional military officers,inferred absent,,,,simple,simple,,
Susiana,IrPrCer,Social Complexity variables,Professions,Professional soldiers,inferred absent,,,,simple,simple,,
Susiana,IrPrCer,Social Complexity variables,Professions,Professional priesthood,absent,,,,simple,simple,,
Susiana,IrPrCer,Social Complexity variables,Bureaucracy characteristics,Full-time bureaucrats,inferred absent,,,,simple,simple,,
Susiana,IrPrCer,Social Complexity variables,Bureaucracy characteristics,Examination system,inferred absent,,,,simple,simple,,
Susiana,IrPrCer,Social Complexity variables,Bureaucracy characteristics,Specialized government buildings,inferred absent,,,,simple,simple,,
Susiana,IrPrCer,Social Complexity variables,Law,Formal legal code,inferred absent,,,,simple,simple,,
Susiana,IrPrCer,Social Complexity variables,Law,Judges,inferred absent,,,,simple,simple,,
Susiana,IrPrCer,Social Complexity variables,Law,Courts,inferred absent,,,,simple,simple,,
Susiana,IrPrCer,Social Complexity variables,Law,Professional Lawyers,inferred absent,,,,simple,simple,,
Susiana,IrPrCer,Social Complexity variables,Specialized Buildings: polity owned,Communal buildings,inferred present,,,,simple,simple,,
Susiana,IrPrCer,Social Complexity variables,Specialized Buildings: polity owned,Special purpose house,inferred present,,,,simple,simple,,
Susiana,IrPrCer,Social Complexity variables,Specialized Buildings: polity owned,Utilitarian public buildings,present,,,,simple,simple,,
Susiana,IrPrCer,Social Complexity variables,Specialized Buildings: polity owned,irrigation systems,inferred absent,,,,simple,simple,,
Susiana,IrPrCer,Social Complexity variables,Specialized Buildings: polity owned,drinking water supply systems,inferred absent,,,,simple,simple,,
Susiana,IrPrCer,Social Complexity variables,Specialized Buildings: polity owned,markets,inferred absent,,,,simple,simple,,
Susiana,IrPrCer,Social Complexity variables,Specialized Buildings: polity owned,food storage sites,present,,,,simple,simple,,
Susiana,IrPrCer,Social Complexity variables,Specialized Buildings: polity owned,Symbolic buildings,inferred absent,,,,simple,simple,,
Susiana,IrPrCer,Social Complexity variables,Specialized Buildings: polity owned,Entertainment buildings,inferred absent,,,,simple,simple,,
Susiana,IrPrCer,Social Complexity variables,Specialized Buildings: polity owned,Knowledge/information buildings,absent,,,,simple,simple,,
Susiana,IrPrCer,Social Complexity variables,Specialized Buildings: polity owned,Roads,inferred absent,,,,simple,simple,,
Susiana,IrPrCer,Social Complexity variables,Specialized Buildings: polity owned,Bridges,inferred absent,,,,simple,simple,,
Susiana,IrPrCer,Social Complexity variables,Specialized Buildings: polity owned,Canals,inferred absent,,,,simple,simple,,
Susiana,IrPrCer,Social Complexity variables,Specialized Buildings: polity owned,Ports,inferred absent,,,,simple,simple,,
Susiana,IrPrCer,Social Complexity variables,Specialized Buildings: polity owned,Special purpose sites,present,,,,simple,simple,,
Susiana,IrPrCer,Social Complexity variables,Specialized Buildings: polity owned,Burial site,present,,,,simple,simple,,
Susiana,IrPrCer,Social Complexity variables,Information,Length,inferred absent,,,,simple,simple,,
Susiana,IrPrCer,Social Complexity variables,Information,Area,inferred absent,,,,simple,simple,,
Susiana,IrPrCer,Social Complexity variables,Information,Volume,inferred absent,,,,simple,simple,,
Susiana,IrPrCer,Social Complexity variables,Information,Weight,inferred absent,,,,simple,simple,,
Susiana,IrPrCer,Social Complexity variables,Information,Time,inferred absent,,,,simple,simple,,
Susiana,IrPrCer,Social Complexity variables,Information,Geometrical,inferred absent,,,,simple,simple,,
Susiana,IrPrCer,Social Complexity variables,Information,Written records,absent,,,,simple,simple,,
Susiana,IrPrCer,Social Complexity variables,Information,Script,absent,,,,simple,simple,,
Susiana,IrPrCer,Social Complexity variables,Information,Non-phonetic writing,absent,,,,simple,simple,,
Susiana,IrPrCer,Social Complexity variables,Information,Phonetic alphabetic writing,absent,,,,simple,simple,,
Susiana,IrPrCer,Social Complexity variables,Information,Lists tables and classifications,absent,,,,simple,simple,,
Susiana,IrPrCer,Social Complexity variables,Information,Calendar,absent,,,,simple,simple,,
Susiana,IrPrCer,Social Complexity variables,Information,Sacred Texts,absent,,,,simple,simple,,
Susiana,IrPrCer,Social Complexity variables,Information,Religious literature,absent,,,,simple,simple,,
Susiana,IrPrCer,Social Complexity variables,Information,Practical literature,absent,,,,simple,simple,,
Susiana,IrPrCer,Social Complexity variables,Information,History,absent,,,,simple,simple,,
Susiana,IrPrCer,Social Complexity variables,Information,Philosophy,absent,,,,simple,simple,,
Susiana,IrPrCer,Social Complexity variables,Information,Scientific literature,absent,,,,simple,simple,,
Susiana,IrPrCer,Social Complexity variables,Information,Fiction,absent,,,,simple,simple,,
Susiana,IrPrCer,Social Complexity variables,Other,Articles,inferred present,,,,simple,simple,,
Susiana,IrPrCer,Social Complexity variables,Other,Foreign coins,inferred absent,,,,simple,simple,,
Susiana,IrPrCer,Social Complexity variables,Other,Indigenous coins,inferred absent,,,,simple,simple,,
Susiana,IrPrCer,Social Complexity variables,Other,Paper currency,inferred absent,,,,simple,simple,,
Susiana,IrPrCer,Social Complexity variables,Other,Debt and credit structures,inferred absent,,,,simple,simple,,
Susiana,IrPrCer,Social Complexity variables,Other,Couriers,inferred absent,,,,simple,simple,,
Susiana,IrPrCer,Social Complexity variables,Other,Postal stations,inferred absent,,,,simple,simple,,
Susiana,IrPrCer,Social Complexity variables,Other,General postal service,inferred absent,,,,simple,simple,,
Susiana,IrForma,Social Complexity variables,,RA,Edward A L Turner,,,,complex,list,,
Susiana,IrForma,Social Complexity variables,,RA, Agathe Dupeyron,,,,complex,list,,
Susiana,IrForma,Social Complexity variables,Social Scale,Population of the largest settlement,250,500,,,complex,range,,
Susiana,IrForma,Social Complexity variables,Hierarchical Complexity,Settlement hierarchy,1,,,,simple,simple,,
Susiana,IrForma,Social Complexity variables,Hierarchical Complexity,Administrative levels,1,,,,simple,simple,,
Susiana,IrForma,Social Complexity variables,Hierarchical Complexity,Religious levels,0,,,,simple,simple,,
Susiana,IrForma,Social Complexity variables,Hierarchical Complexity,Military levels,1,,,,simple,simple,,
Susiana,IrForma,Social Complexity variables,Professions,Professional military officers,inferred absent,,,,simple,simple,,
Susiana,IrForma,Social Complexity variables,Professions,Professional soldiers,inferred absent,,,,simple,simple,,
Susiana,IrForma,Social Complexity variables,Professions,Professional priesthood,absent,,,,simple,simple,,
Susiana,IrForma,Social Complexity variables,Bureaucracy characteristics,Full-time bureaucrats,inferred absent,,,,simple,simple,,
Susiana,IrForma,Social Complexity variables,Bureaucracy characteristics,Examination system,inferred absent,,,,simple,simple,,
Susiana,IrForma,Social Complexity variables,Bureaucracy characteristics,Merit promotion,inferred absent,,,,simple,simple,,
Susiana,IrForma,Social Complexity variables,Bureaucracy characteristics,Specialized government buildings,inferred absent,,,,simple,simple,,
Susiana,IrForma,Social Complexity variables,Law,Formal legal code,inferred absent,,,,simple,simple,,
Susiana,IrForma,Social Complexity variables,Law,Judges,inferred absent,,,,simple,simple,,
Susiana,IrForma,Social Complexity variables,Law,Courts,inferred absent,,,,simple,simple,,
Susiana,IrForma,Social Complexity variables,Law,Professional Lawyers,inferred absent,,,,simple,simple,,
Susiana,IrForma,Social Complexity variables,Specialized Buildings: polity owned,Communal buildings,inferred present,,,,simple,simple,,
Susiana,IrForma,Social Complexity variables,Specialized Buildings: polity owned,Special purpose house,inferred present,,,,simple,simple,,
Susiana,IrForma,Social Complexity variables,Specialized Buildings: polity owned,Utilitarian public buildings,present,,,,simple,simple,,
Susiana,IrForma,Social Complexity variables,Specialized Buildings: polity owned,irrigation systems,inferred absent,,,,simple,simple,,
Susiana,IrForma,Social Complexity variables,Specialized Buildings: polity owned,drinking water supply systems,inferred absent,,,,simple,simple,,
Susiana,IrForma,Social Complexity variables,Specialized Buildings: polity owned,markets,inferred absent,,,,simple,simple,,
Susiana,IrForma,Social Complexity variables,Specialized Buildings: polity owned,food storage sites,present,,,,simple,simple,,
Susiana,IrForma,Social Complexity variables,Specialized Buildings: polity owned,Symbolic buildings,inferred absent,,,,simple,simple,,
Susiana,IrForma,Social Complexity variables,Specialized Buildings: polity owned,Entertainment buildings,inferred absent,,,,simple,simple,,
Susiana,IrForma,Social Complexity variables,Specialized Buildings: polity owned,Knowledge/information buildings,absent,,,,simple,simple,,
Susiana,IrForma,Social Complexity variables,Specialized Buildings: polity owned,Roads,inferred absent,,,,simple,simple,,
Susiana,IrForma,Social Complexity variables,Specialized Buildings: polity owned,Bridges,inferred absent,,,,simple,simple,,
Susiana,IrForma,Social Complexity variables,Specialized Buildings: polity owned,Canals,inferred absent,,,,simple,simple,,
Susiana,IrForma,Social Complexity variables,Specialized Buildings: polity owned,Ports,inferred absent,,,,simple,simple,,
Susiana,IrForma,Social Complexity variables,Specialized Buildings: polity owned,Special purpose sites,present,,,,simple,simple,,
Susiana,IrForma,Social Complexity variables,Specialized Buildings: polity owned,Burial site,present,,,,simple,simple,,
Susiana,IrForma,Social Complexity variables,Information,Length,inferred absent,,,,simple,simple,,
Susiana,IrForma,Social Complexity variables,Information,Area,inferred absent,,,,simple,simple,,
Susiana,IrForma,Social Complexity variables,Information,Volume,inferred absent,,,,simple,simple,,
Susiana,IrForma,Social Complexity variables,Information,Weight,inferred absent,,,,simple,simple,,
Susiana,IrForma,Social Complexity variables,Information,Time,inferred absent,,,,simple,simple,,
Susiana,IrForma,Social Complexity variables,Information,Geometrical,inferred absent,,,,simple,simple,,
Susiana,IrForma,Social Complexity variables,Information,Written records,absent,,,,simple,simple,,
